アマランサス/玄穀
あわ/精白粒
あわ/あわもち
えんばく/オートミール
おおむぎ/七分つき押麦
おおむぎ/押麦
おおむぎ/米粒麦
大麦めん/乾
大麦めん/ゆで
大麦めん/麦こがし
きび/精白粒
[玄穀]/国産・普通
[玄穀]/輸入・軟質
[玄穀]/輸入・硬質
[小麦粉]/薄力粉・1等
[小麦粉]/薄力粉・2等
[小麦粉]/中力粉・1等
[小麦粉]/中力粉・2等
[小麦粉]/強力粉・1等
[小麦粉]/強力粉・2等
[小麦粉]/強力粉・全粒粉
[小麦粉]/プレミックス粉/ホットケーキ用
[小麦粉]/プレミックス粉/てんぷら用
食パン
コッペパン
乾パン
フランスパン
ライ麦パン
ぶどうパン
ロールパン
クロワッサン
イングリッシュマフィン
ナン
うどん/生
うどん/ゆで
干しうどん/乾
干しうどん/ゆで
そうめん・ひやむぎ/乾
そうめん・ひやむぎ/ゆで
手延そうめん・手延ひやむぎ/乾
手延そうめん・手延ひやむぎ/ゆで
中華めん/生
中華めん/ゆで
中華めん/蒸し中華めん
干し中華めん/乾
干し中華めん/ゆで
沖縄そば/生
沖縄そば/ゆで
干し沖縄そば/乾
干し沖縄そば/ゆで
即席中華めん/油揚げ味付け
即席中華めん/油揚げ
即席中華めん/非油揚げ
中華スタイル即席カップめん/油揚げ
中華スタイル即席カップめん/油揚げ、焼きそば
中華スタイル即席カップめん/非油揚げ
和風スタイル即席カップめん/油揚げ
マカロニ・スパゲッティ/乾
マカロニ・スパゲッティ/ゆで
生ふ
焼きふ/観世ふ
焼きふ/板ふ
焼きふ/車ふ
竹輪ふ
小麦はいが
小麦たんぱく/粉末状
小麦たんぱく/粒状
小麦たんぱく/ペースト状
ぎょうざの皮
しゅうまいの皮
ピザクラスト
パン粉/生
パン粉/半生
パン粉/乾燥
[水稲穀粒]/玄米
[水稲穀粒]/半つき米
[水稲穀粒]/七分つき米
[水稲穀粒]/精白米
[水稲穀粒]/はいが精米
[水稲めし]/玄米
[水稲めし]/半つき米
[水稲めし]/七分つき米
[水稲めし]/精白米
[水稲めし]/はいが精米
[水稲全かゆ]/玄米
[水稲全かゆ]/半つき米
[水稲全かゆ]/七分つき米
[水稲全かゆ]/精白米
[水稲五分かゆ]/玄米
[水稲五分かゆ]/半つき米
[水稲五分かゆ]/七分つき米
[水稲五分かゆ]/精白米
[水稲おもゆ]/玄米
[水稲おもゆ]/半つき米
[水稲おもゆ]/七分つき米
[水稲おもゆ]/精白米
[陸稲穀粒]/玄米
[陸稲穀粒]/半つき米
[陸稲穀粒]/七分つき米
[陸稲穀粒]/精白米
[陸稲めし]/玄米
